Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Jacob Rasmussen,25,Centre-Back,Denmark,3.0,Feyenoord,Eredivisie,Netherlands,Loan,
Julen Lobete,21,Centre-Forward,Spain,3.0,RKC Waalwijk,Eredivisie,Netherlands,Loan,
Rubén Blanco,26,Goalkeeper,Spain,3.0,Marseille,Ligue 1,France,Loan,
Güven Yalcin,23,Centre-Forward,Turkey,3.0,Genoa,Serie B,Italy,Free,
Edouard Michut,19,Central Midfield,France,3.0,Sunderland,Championship,England,Loan,
Matthis Abline,19,Centre-Forward,France,3.0,AJ Auxerre,Ligue 1,France,Loan,
Akim Zedadka,27,Right-Back,Algeria,3.0,AJ Auxerre,Ligue 1,France,Loan,
James McAtee,19,Central Midfield,England,3.0,Sheff Utd,Championship,England,Loan,
Sergio Camello,21,Centre-Forward,Spain,3.0,Rayo Vallecano,LaLiga,Spain,Loan,
Jarrad Branthwaite,20,Centre-Back,England,3.0,PSV Eindhoven,Eredivisie,Netherlands,Loan,
Matteo Cancellieri,20,Right Winger,Italy,3.0,Lazio,Serie A,Italy,Loan,
Ronaldo Vieira,24,Central Midfield,England,3.0,Torino,Serie A,Italy,Loan,
Aaron Ramsey,31,Central Midfield,Wales,3.0,OGC Nice,Ligue 1,France,Free,
Joe Bryan,28,Left-Back,England,3.0,OGC Nice,Ligue 1,France,Loan,
Josip Drmic,29,Centre-Forward,Switzerland,3.0,Dinamo Zagreb,SuperSport HNL,Croatia,Free,
Gabriel Slonina,18,Goalkeeper,United States,3.0,Chicago,MLS,United States,Loan,
Toni Borevkovic,25,Centre-Back,Croatia,3.0,Hajduk Split,SuperSport HNL,Croatia,Loan,
Gennaro Tutino,26,Centre-Forward,Italy,3.0,Palermo,Serie B,Italy,Loan,
Gabriel Vidovic,18,Attacking Midfield,Croatia,3.0,Vitesse,Eredivisie,Netherlands,Loan,
Bersant Celina,26,Attacking Midfield,Kosovo,3.0,Stoke City,Championship,England,Loan,
Hugo Siquet,20,Right-Back,Belgium,3.0,Cercle Brugge,Jupiler Pro League,Belgium,Loan,
Radoslaw Majecki,22,Goalkeeper,Poland,3.0,Cercle Brugge,Jupiler Pro League,Belgium,Loan,
Heitor,21,Right-Back,Brazil,3.0,Cercle Brugge,Jupiler Pro League,Belgium,Loan,
Jean Marcelin,22,Centre-Back,France,3.0,Cercle Brugge,Jupiler Pro League,Belgium,Loan,
Thomas Delaney,31,Central Midfield,Denmark,3.0,TSG Hoffenheim,Bundesliga,Germany,Loan,
Adryelson,24,Centre-Back,Brazil,3.0,Botafogo,Série A,Brazil,Free,
Nahuel Bustos,24,Centre-Forward,Argentina,3.0,São Paulo,Série A,Brazil,Loan,
Jaden Philogene,20,Left Winger,England,3.0,Cardiff,Championship,Wales,Loan,
Nikão,30,Attacking Midfield,Brazil,3.0,Cruzeiro,Série A,Brazil,Loan,
Aaron Ramsey,20,Attacking Midfield,England,3.0,Middlesbrough,Championship,England,Loan,
Ryan Giles,22,Left-Back,England,3.0,Middlesbrough,Championship,England,Loan,
