Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Moses Usor,20,Right Winger,Nigeria,2.0,LASK,Bundesliga,Austria,Loan,
Robert Zulj,30,Attacking Midfield,Austria,2.0,LASK,Bundesliga,Austria,Free,
Gabriel Suazo,25,Left-Back,Chile,2.0,Toulouse,Ligue 1,France,Free,
Arnaud Souquet,30,Right-Back,France,2.0,Chicago,MLS,United States,Free,
Mamady Diambou,20,Defensive Midfield,Mali,2.0,FC Luzern,Super League,Switzerland,Loan,
Lovre Kalinic,32,Goalkeeper,Croatia,2.0,Hajduk Split,SuperSport HNL,Croatia,Free,
Lazar Markovic,28,Right Winger,Serbia,2.0,Trabzonspor,Süper Lig,Turkey,Loan,
Jens Stryger Larsen,31,Right-Back,Denmark,2.0,Trabzonspor,Süper Lig,Turkey,Free,
Davide Bettella,22,Centre-Back,Italy,2.0,Palermo,Serie B,Italy,Loan,
Álvaro Fernandez,19,Left-Back,Spain,2.0,Preston,Championship,England,Loan,
Philippe Sandler,25,Centre-Back,Netherlands,2.0,NEC Nijmegen,Eredivisie,Netherlands,Free,
Sidnei,32,Centre-Back,Brazil,2.0,UD Las Palmas,LaLiga2,Spain,Free,
Anton Tinnerholm,31,Right-Back,Sweden,2.0,Malmö FF,Allsvenskan,Sweden,Free,
Will Smallbone,22,Central Midfield,Ireland,2.0,Stoke City,Championship,England,Loan,
Tariqe Fosu,26,Left Winger,Ghana,2.0,Stoke City,Championship,England,Loan,
Antoine Bernede,23,Central Midfield,France,2.0,Lausanne-Sport,Challenge League,Switzerland,Loan,
Maximiliano Lovera,23,Left Winger,Argentina,2.0,Ionikos Nikeas,Super League 1,Greece,Loan,
Pedrinho,23,Left Winger,Brazil,2.0,São Paulo,Série A,Brazil,Loan,
Helton Leite,32,Goalkeeper,Brazil,2.0,Antalyaspor,Süper Lig,Turkey,Free,
Emrecan Uzunhan,21,Centre-Back,Turkey,2.0,Antalyaspor,Süper Lig,Turkey,Loan,
Christian Luyindama,28,Centre-Back,DR Congo,2.0,Antalyaspor,Süper Lig,Turkey,Loan,
Sheyi Ojo,25,Right Winger,England,2.0,Cardiff,Championship,Wales,Free,
Mahlon Romeo,26,Right-Back,Antigua and Barbuda,2.0,Cardiff,Championship,Wales,Free,
Andre Gray,31,Centre-Forward,Jamaica,2.0,Aris Saloniki,Super League 1,Greece,Free,
Rafael Camacho,22,Right Winger,Portugal,2.0,Aris Saloniki,Super League 1,Greece,Loan,
Guillermo Varela,29,Right-Back,Uruguay,2.0,Flamengo,Série A,Brazil,Free,
Arturo Vidal,35,Central Midfield,Chile,2.0,Flamengo,Série A,Brazil,Free,
Kike Salas,20,Centre-Back,Spain,2.0,CD Tenerife,LaLiga2,Spain,Loan,
Thomas Delaine,30,Left-Back,France,2.0,R. Strasbourg,Ligue 1,France,Free,
Josh Bowler,23,Right Winger,England,2.0,Olympiacos,Super League 1,Greece,Loan,
Samuel Grandsir,26,Right Winger,France,2.0,Le Havre AC,Ligue 2,France,Free,
Jean-Daniel Akpa Akpro,29,Central Midfield,Cote d'Ivoire,2.0,FC Empoli,Serie A,Italy,Loan,
Eric Remedi,27,Defensive Midfield,Argentina,2.0,Banfield,Copa de la Liga,Argentina,Free,
Milton Giménez,26,Centre-Forward,Argentina,2.0,Banfield,Copa de la Liga,Argentina,Loan,
Gastón Pereiro,27,Attacking Midfield,Uruguay,2.0,Nacional,Torneo Intermedio,Uruguay,Loan,
Germán Conti,28,Centre-Back,Argentina,2.0,Loko Moscow,Premier Liga,Russia,Free,
Robert Renan,19,Centre-Back,Brazil,2.0,Zenit S-Pb,Premier Liga,Russia,Free,
Lucas Mineiro,26,Defensive Midfield,Brazil,2.0,KVC Westerlo,Jupiler Pro League,Belgium,Loan,
Issiaga Sylla,29,Left-Back,Guinea,2.0,Montpellier,Ligue 1,France,Free,
Marc Albrighton,33,Right Midfield,England,2.0,West Brom,Championship,England,Loan,
Pietro Ceccaroni,27,Centre-Back,Italy,2.0,Lecce,Serie A,Italy,Loan,
Gianluca Frabotta,23,Left-Back,Italy,2.0,Lecce,Serie A,Italy,Loan,
Josh Koroma,23,Centre-Forward,England,2.0,Portsmouth,League One,England,Loan,
Benik Afobe,29,Centre-Forward,DR Congo,2.0,Millwall,Championship,England,Unknown,
Jonathan Menéndez,28,Left Winger,Argentina,2.0,Vélez Sarsfield,Liga Profesional,Argentina,Loan,
Andrés Roa,29,Attacking Midfield,Colombia,2.0,Argentinos Jrs.,Liga Profesional,Argentina,Free,
Cauley Woodrow,27,Centre-Forward,England,2.0,Luton,Championship,England,Unknown,
Will Vaulks,28,Defensive Midfield,Wales,2.0,Sheff Wed,League One,England,Free,
Bram Nuytinck,32,Centre-Back,Netherlands,2.0,Sampdoria,Serie A,Italy,Unknown,
Maxime Leverbe,25,Centre-Back,France,2.0,Sampdoria,Serie A,Italy,Loan,
Bruno Amione,20,Centre-Back,Argentina,2.0,Sampdoria,Serie A,Italy,Loan,
Jake Clarke-Salter,24,Centre-Back,England,2.0,QPR,Championship,England,Free,
Rafa Soares,27,Left-Back,Portugal,2.0,PAOK Salonika,Super League 1,Greece,Free,
Papa Ndiaga Yade,22,Left Winger,Senegal,2.0,Troyes,Ligue 1,France,Loan,
Mandela Keita,20,Defensive Midfield,Belgium,2.0,Royal Antwerp,Jupiler Pro League,Belgium,Loan,
Rober González,21,Right Winger,Spain,2.0,Alavés,LaLiga2,Spain,Loan,
Moussa Djitté,23,Centre-Forward,Senegal,2.0,AC Ajaccio,Ligue 1,France,Loan,
Youssouf Koné,27,Left-Back,Mali,2.0,AC Ajaccio,Ligue 1,France,Loan,
Josh Bowler,23,Right Winger,England,2.0,Blackpool,Championship,England,Loan,
Curtis Nelson,29,Centre-Back,England,2.0,Blackpool,Championship,England,Free,
Charlie Patino,18,Central Midfield,England,2.0,Blackpool,Championship,England,Loan,
Ian Poveda,22,Right Winger,England,2.0,Blackpool,Championship,England,Loan,
Tariqe Fosu,27,Left Winger,Ghana,2.0,Rotherham,Championship,England,Loan,
Omar Al-Somah,33,Centre-Forward,Syria,2.0,Al-Arabi SC,Stars League,Qatar,Loan,
Mubarak Wakaso,32,Central Midfield,Ghana,2.0,KAS Eupen,Jupiler Pro League,Belgium,Loan,
Raúl López,29,Right-Back,Mexico,2.0,Santos Laguna,Liga MX Clausura,Mexico,Unknown,
Juan Brunetta,25,Left Winger,Argentina,2.0,Santos Laguna,Liga MX Clausura,Mexico,Loan,
Yahia Fofana,21,Goalkeeper,France,2.0,Angers SCO,Ligue 1,France,Free,
Miha Blazic,29,Centre-Back,Slovenia,2.0,Angers SCO,Ligue 1,France,Free,
Ibrahim Amadou,29,Defensive Midfield,France,2.0,Angers SCO,Ligue 1,France,Free,
Carlos Eduardo,26,Right Winger,Brazil,2.0,Estoril Praia,Liga Portugal,Portugal,Loan,
Carlos Clerc,30,Left-Back,Spain,2.0,Elche CF,LaLiga,Spain,Free,
Luca Zidane,24,Goalkeeper,France,2.0,SD Eibar,LaLiga2,Spain,Free,
Janderson,23,Left Winger,Brazil,2.0,Ceará SC,Série B,Brazil,Loan,
Pablo Galdames,26,Central Midfield,Chile,2.0,Cremonese,Serie A,Italy,Loan,
Paolo Ghiglione,25,Right-Back,Italy,2.0,Cremonese,Serie A,Italy,Unknown,
Josef Bursik,22,Goalkeeper,England,2.0,Club Brugge,Jupiler Pro League,Belgium,Unknown,
Domagoj Pavicic,28,Central Midfield,Croatia,2.0,Konyaspor,Süper Lig,Turkey,Free,
Jordy Caicedo,25,Centre-Forward,Ecuador,2.0,Sivasspor,Süper Lig,Turkey,Loan,
Xavi Quintillà,25,Left-Back,Spain,2.0,Santa Clara,Liga Portugal,Portugal,Free,
Tomás Araújo,20,Centre-Back,Portugal,2.0,Gil Vicente,Liga Portugal,Portugal,Loan,
Ruan,27,Right-Back,Brazil,2.0,D.C. United,MLS,United States,Free,
Mateusz Klich,32,Central Midfield,Poland,2.0,D.C. United,MLS,United States,Free,
José Marsà,20,Centre-Back,Spain,2.0,Sporting Gijón,LaLiga2,Spain,Loan,
Gonzalo Escalante,29,Central Midfield,Argentina,2.0,Cádiz CF,LaLiga,Spain,Loan,
Federico Ricca,27,Centre-Back,Uruguay,2.0,OH Leuven,Jupiler Pro League,Belgium,Free,
Abdulkadir Parmak,27,Central Midfield,Turkey,2.0,Gaziantep FK,Süper Lig,Turkey,Loan,
Filippo Melegoni,23,Central Midfield,Italy,2.0,Standard Liège,Jupiler Pro League,Belgium,Loan,
João Carlos Teixeira,30,Attacking Midfield,Portugal,2.0,SH Shenhua,Super League,China,Free,
Yassine Meriah,29,Centre-Back,Tunisia,2.0,Esperance,Ligue I Pro,Tunisia,Free,
Vicente Iborra,34,Defensive Midfield,Spain,2.0,Levante,LaLiga2,Spain,Loan,
Daniel Maldini,20,Attacking Midfield,Italy,2.0,Spezia Calcio,Serie A,Italy,Loan,
Jérémie Bela,29,Left Winger,Angola,2.0,Clermont Foot,Ligue 1,France,Free,
Marcos Guilherme,27,Left Winger,Brazil,2.0,Khimki,Premier Liga,Russia,Free,
Heitor,22,Right-Back,Brazil,2.0,Mirassol-SP,Série B,Brazil,Loan,
Thuler,23,Centre-Back,Brazil,2.0,Vissel Kobe,J1 League,Japan,Loan,
Maxime Leverbe,25,Centre-Back,France,2.0,Benevento,Serie B,Italy,Loan,
Opa Nguette,28,Left Winger,Senegal,2.0,FC Baniyas,UAE Pro League,United Arab Emirates,Free,
Samir Memisevic,29,Centre-Back,Bosnia-Herzegovina,2.0,Al-Nasr SC,UAE Pro League,United Arab Emirates,Free,
Roberto Torres,33,Attacking Midfield,Spain,2.0,Foolad,Persian Gulf Pro League,Iran,Free,
Jürgen Locadia,28,Centre-Forward,Curacao,2.0,Persepolis,Persian Gulf Pro League,Iran,Free,
Gustavo Maia,22,Left Winger,Brazil,2.0,Valencia B,Segunda Federación - Gr. III,Spain,Loan,
Mikael,23,Centre-Forward,Brazil,2.0,Internacional,Série A,Brazil,Loan,
Bruno Rodrigues,21,Centre-Back,Portugal,2.0,Karagümrük,Süper Lig,Turkey,Loan,
Steven Caulker,30,Centre-Back,Sierra Leone,2.0,Karagümrük,Süper Lig,Turkey,Free,
Fernando González,28,Defensive Midfield,Mexico,2.0,Chivas,Liga MX Clausura,Mexico,Unknown,
Santiago Ormeño,28,Centre-Forward,Peru,2.0,Chivas,Liga MX Clausura,Mexico,Unknown,
Gabriel Poveda,24,Centre-Forward,Brazil,2.0,Bolívar,División Profesional,Bolivia,Loan,
Darko Velkovski,27,Centre-Back,North Macedonia,2.0,Ettifaq FC,Saudi Pro League,Saudi Arabia,Free,
Roberto Massimo,21,Left Winger,Germany,2.0,Académico Viseu,Liga Sabseg,Portugal,Loan,
Santiago Naveda,21,Defensive Midfield,Mexico,2.0,Miedz Legnica,Ekstraklasa,Poland,Loan,
Samuele Mulattieri,21,Centre-Forward,Italy,2.0,Frosinone,Serie B,Italy,Loan,
Gianluca Frabotta,23,Left-Back,Italy,2.0,Frosinone,Serie B,Italy,Loan,
Ali Gholizadeh,26,Right Winger,Iran,2.0,Kasimpasa,Süper Lig,Turkey,Loan,
Pierre Dwomoh,18,Central Midfield,Belgium,2.0,Braga B,League 3 Promotion Round,Portugal,Loan,
Tomás Pochettino,26,Attacking Midfield,Argentina,2.0,Fortaleza,Série A,Brazil,Unknown,
Thiago Galhardo,32,Centre-Forward,Brazil,2.0,Fortaleza,Série A,Brazil,Loan,
Pedro Rocha,27,Left Winger,Brazil,2.0,Fortaleza,Série A,Brazil,Free,
João Carlos Teixeira,29,Attacking Midfield,Portugal,2.0,Umm Salal SC,Stars League,Qatar,Free,
Alexander Callens,30,Centre-Back,Peru,2.0,Girona,LaLiga,Spain,Free,
Rodrigo Riquelme,22,Left Winger,Spain,2.0,Girona,LaLiga,Spain,Loan,
Paulo Gazzaniga,30,Goalkeeper,Argentina,2.0,Girona,LaLiga,Spain,Loan,
Roberto López,22,Attacking Midfield,Spain,2.0,CD Mirandés,LaLiga2,Spain,Loan,
Lucas Cavallini,30,Centre-Forward,Canada,2.0,Club Tijuana,Liga MX Clausura,Mexico,Free,
Heitor,22,Right-Back,Brazil,2.0,Ferroviária,Paulistão A1 - Primeira Fase,Brazil,Loan,
Ryad Boudebouz,32,Attacking Midfield,Algeria,2.0,Al-Ahli,Saudi Arabia,Saudi Arabia,Free,
Fabio Abreu,29,Centre-Forward,Angola,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,Unknown,
Mehdi Abeid,30,Central Midfield,Algeria,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,Free,
Darío Sarmiento,19,Right Winger,Argentina,2.0,Mvd City Torque,Primera División Clausura,Uruguay,Loan,
